date      ,title
2018-04-20,Надія Савченко хоче організувати прийом громадян у СІЗО
2018-04-19,Сьогодні Надію Савченко возили на експертизу – прес-секретар
2018-04-18,"Савченко заявила, що не може заповнити е-декларацію"
2018-04-18,"Савченко про перевірку на поліграфі: Я така людина, яку доволі складно тестувати"
2018-04-18,Суд не дозволив примусово взяти зразки слини у Надії Савченко
2018-04-18,Савченко: Можу плюнути генпрокурору в морду – нехай беруть зразки з морди прокурора. Відео
2018-04-18,"Савченко заявила, що розцінюватиме як катування примусовий відбір слини"
2018-04-17,Завтра Савченко доправлять до суду у справі щодо відбору біологічних зразків
2018-04-17,"""Надія почувалася впевнено"". Адвокат розповів, що Савченко пройшла поліграф"
2018-04-17,Савченко допитують у СІЗО СБУ – адвокат
2018-04-16,"У СБУ заявили, що Савченко та Рубан відмовляються давати свідчення"
2018-04-16,Суд переніс засідання щодо повернення майна Савченко на 23 квітня
2018-04-16,Допит Савченко на поліграфі перенесли на 17 квітня – адвокат
2018-04-13,Савченко припинила голодування на три дні
2018-04-13,Допит Надії Савченко на поліграфі зупинили через стан її здоров'я – сестра
2018-04-13,Надія Савченко розцінить примусове годування як тортури і приниження – адвокат
2018-04-13,Надія Савченко почала проходити перевірку на поліграфі – адвокат
2018-04-12,Надія Савченко пройде перевірку на поліграфі 13 квітня – сестра
2018-04-12,Савченко відвезли у клініку на обстеження – сестра
2018-04-12,"Савченко: Здоров'я від голодування погіршується в межах норми, але не критично"
2018-04-11,Надія Савченко висунула вимогу надати їй можливість вести депутатську та громадську діяльність
2018-04-11,"У СБУ заявили, що стан здоров'я Надії Савченко не потребує стаціонарного лікування"
2018-04-11,Візит Надії Савченко до лікарні перенесли на завтра – сестра
2018-04-11,"Росія наклала вето на резолюцію Радбезу ООН про розслідування хіматак у Сирії, обшуки у Савченко. Головне за день"
2018-04-10,"Сестра Савченко повідомила, що нардепа завтра відвезуть у лікарню"
2018-04-10,"У НАЗК заявили, що чотири нардепи не подали декларацій за 2017 рік"
2018-04-10,"Адвокат Надії Савченко заявив, що та схудла на 11 кг і хоче пройти поліграф"
2018-04-10,В офісі Надії Савченко проходять обшуки – адвокат
2018-04-10,У СБУ підтвердили факт обшуків у квартирі Надії Савченко
2018-04-10,"Мати Надії Савченко про обшуки у квартирі: Вони шукали гранатомети, гранати, а їх у нас немає"
2018-04-10,У квартирі Надії Савченко проводять обшук – адвокат
2018-04-06,Савченко сьогодні відвідали лікарі
2018-04-06,"Голова Миколаївської ОДА Савченко заявив, що, крім служби в УБОЗ, із Яремою і Гелетеєм його нічого не пов'язує"
2018-04-05,"Порошенко анонсував завершення АТО, Бубенчику оголосили нову підозру, Савченко не пройшла поліграф. Головне за день"
2018-04-05,"У СБУ заявили, що Савченко свідомо відмовилася від допиту на поліграфі"
2018-04-05,Допит Савченко на поліграфі не відбувся – адвокат
2018-04-05,"Сестра Савченко про перевірку нардепа на поліграфі: Сподіваюся, що експертизи не буде, поки ми не ознайомимося з матеріалами справи"
2018-04-05,Савченко перевірять на поліграфі 5 квітня
2018-04-04,Гордон про спроби пов'язати справу Савченко з Тимошенко: Рейтинг Юлії Володимирівни піде ще вище!
2018-04-04,"Савченко продовжує голодування, схудла на 10 кг – сестра"
2018-04-04,"Адвокат Савченко про причини самовідводу: Добре захищати того, хто сам хоче захиститися"
2018-04-04,"Віра Савченко: Я віддала свій автомобіль на спецтехогляд, фахівці виявили закладку на вибухівку"
2018-04-03,Один із адвокатів Савченко заявив про самовідвід
2018-04-03,"Савченко із СІЗО опублікувала ""концепцію змін політичної системи України"""
2018-04-02,Віра Савченко просить Трампа звернути увагу на арешт її сестри в Україні
2018-03-31,У Савченко з'явилася кривава блювота – сестра
2018-03-30,Олексій Савченко подав заяву про складання повноважень на час розслідування самогубства Волошина
2018-03-30,"Наливайченко: Гонтарева в Лондоні, а не на лаві підсудних. На вкрадені мільярди в офшори купує в Росії акції Burger King"
2018-03-30,"Медведчук: Пошук моєї причетності до Савченко, Рубана та їхньої справи – повний абсурд, будь-які заяви на цю тему – політичне замовлення"
2018-03-30,"Ганапольський про Вострикова, який утратив сім'ю під час пожежі в Кемерові: Це такий російський Надія Савченко"
2018-03-29,"Росія висилає американських дипломатів, Савченко залишили під вартою. Головне за день"
2018-03-29,Апеляційний суд залишив Савченко під вартою
2018-03-29,Савченко: Рубан і я ніяк не могли захопити всі органи державної влади по всій Україні
2018-03-29,Хмара хоче взяти Савченко на поруки
2018-03-29,Клопотання Савченко про відвід колегії суддів відхилили
2018-03-29,Клопотання Савченко про відвід прокурора відхилили. Вона заявила відвід колегії суддів
2018-03-29,"Савченко заявила відвід прокурору Климовичу, якого називала ""довбой...бом"" "
2018-03-29,"""Я пиріжків напекла – не прийняли"". Мати відвідала Савченко в СІЗО"
2018-03-29,Апеляційний суд Києва розглядає скаргу на арешт Савченко. Трансляція
2018-03-29,Голова Миколаївської ОДА Савченко: Я знайомий із Крисіним. Ми з ним не спілкуємося
2018-03-29,"Адвокат про стан Савченко: Схудла, але жива"
2018-03-29,Савченко знялася в політичній рекламі з переодяганням. Відео
2018-03-28,Голова Миколаївської ОДА Савченко закликав своїх прихильників не виходити на акції підтримки
2018-03-28,У 2018 році в Миколаївській області дороги відремонтують на суму понад 900 млн грн – голова ОДА Савченко
2018-03-27,Бєлковський: Скандал із Савченко я розглядаю в контексті переобрання Порошенка на другий строк
2018-03-27,Савченко засудив спекуляції навколо загибелі Волошина
2018-03-27,"Луценко про Савченко: Кожна зверхнова зірка, яка яскраво вибухає в космосі, породжує чорну діру. Відео"
2018-03-27,"Журавський: Якби Савченко дошкульно не критикувала владу, ніхто б її не ув’язнив. Судова справа політично вмотивована. Сумнівів немає"
2018-03-27,"Луценко заявив, що досудове слідство у справі Савченко триватиме два-три місяці"
2018-03-27,"Луценко заявив, що ГПУ вже понад рік розслідує підривну діяльність, до якої може бути причетним ""Український вибір"" Медведчука"
2018-03-27,"Луценко запевнив, що справи більшості позбавлених недоторканності нардепів передадуть у суди у 2018 році"
2018-03-26,Апеляційний суд Києва розгляне скаргу захисту Савченко 29 березня
2018-03-26,"Москаль про Савченко: Вона прийшла вже повністю або завербована, або зазомбована. Її Росія випустила спеціально, як диверсанта"
2018-03-26,"Савченко і далі голодує, передати їй воду не дозволили – адвокат"
2018-03-26,Адвокати Савченко оскаржили її арешт
2018-03-26,"Климпуш-Цинцадзе заявила, що ситуація із Савченко негативно не вплине на Україну, якщо буде дотримано законодавства"
2018-03-26,Адвокат про самопочуття Савченко: Схудла і змарніла
2018-03-26,Апеляційне засідання у справі Савченко буде призначено за кілька днів – адвокат
2018-03-26,Бєлковський: Путін буде оточувати себе гаремом хлопчиків
2018-03-26,Смешко про Савченко: Політизована реалізація цієї справи загрожує національній безпеці та обороні
2018-03-26,У необхідності затримати й заарештувати Савченко нардепів переконала вона сама – Мосійчук
2018-03-25,"У 2017 році випадкові свідки у Києві бачили, як Савченко і Рубан знищували документи"
2018-03-25,Саакашвілі: У Савченко повна лажа в голові
2018-03-24,"Сванідзе про Савченко: Українська Жанна д'Арк, яка теж, не виключено, була сама не своя"
2018-03-24,Савченко поскаржилася на відеоспостереження й тоновані вікна в камері – офіс омбудсмена
2018-03-24,"Кох: Луценко і Ко чомусь вважали, що якщо Савченко ненавидить російських злодіїв і вбивць, то зобов'язана любити українських"
2018-03-24,Під час затримання Савченко було порушено вимоги чинного законодавства – омбудсмен Денісова
2018-03-24,"Пєсков назвав ""повною нісенітницею"" версію про те, що Савченко завербували в російській в'язниці"
2018-03-24,Тимчук: Савченко у своїх п...зданутих ігрищах намагалася зробити заручниками своєї неадекватності офіцерів-парламентерів
2018-03-24,"Мостова: Події імені Савченко одним із наслідків матимуть спробу відновити тезу, що єдина альтернатива Порошенкові – це Путін"
2018-03-23,"Заарештували Савченко, Трамп затвердив $620,7 млн для України, захоплення заручників у Франції. Головне за день"
2018-03-23,"Віра Савченко вважає, що на рішення суду про арешт Надії вплинули Порошенко і Гройсман"
2018-03-23,Суд заарештував Савченко до 20 травня. Фоторепортаж
2018-03-23,Савченко заарештували до 20 травня без права на заставу
2018-03-23,Савченко звернулася до Путіна: Дайте волю і життя людям
2018-03-23,"Савченко може звернутися до ""ЛНР"" по політичний притулок – представник бойовиків у Мінську"
2018-03-23,"Тимошенко заявила, що після повернення з в'язниці у РФ Савченко слід було пройти тривалу психологічну реабілітацію"
2018-03-23,Савченко відмовилася здати зразки ДНК
2018-03-23,"Савченко назвала прокурора ""довбой...бом"" після порівняння її з Єрофєєвим і Александровим. Відео"
