date      ,title
2018-01-22,0.0
2018-01-23,0.0
2018-01-24,0.0
2018-01-25,2.0
2018-01-26,0.0
2018-01-27,0.0
2018-01-28,0.0
2018-01-29,0.0
2018-01-30,0.0
2018-01-31,4.0
2018-02-01,0.0
2018-02-02,0.0
2018-02-03,0.0
2018-02-04,0.0
2018-02-05,0.0
2018-02-06,0.0
2018-02-07,0.0
2018-02-08,0.0
2018-02-09,1.0
2018-02-10,0.0
2018-02-11,0.0
2018-02-12,0.0
2018-02-13,0.0
2018-02-14,0.0
2018-02-15,4.0
2018-02-16,1.0
2018-02-17,0.0
2018-02-18,1.0
2018-02-19,0.0
2018-02-20,0.0
2018-02-21,0.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-24,0.0
2018-02-25,0.0
2018-02-26,0.0
2018-02-27,0.0
2018-02-28,0.0
2018-03-01,1.0
2018-03-02,0.0
2018-03-03,0.0
2018-03-04,0.0
2018-03-05,0.0
2018-03-06,0.0
2018-03-07,1.0
2018-03-08,0.0
2018-03-09,4.0
2018-03-10,1.0
2018-03-11,0.0
2018-03-12,4.0
2018-03-13,8.0
2018-03-14,5.0
2018-03-15,24.0
2018-03-16,12.0
2018-03-17,3.0
2018-03-18,0.0
2018-03-19,7.0
2018-03-20,15.0
2018-03-21,12.0
2018-03-22,52.0
2018-03-23,28.0
2018-03-24,7.0
2018-03-25,2.0
2018-03-26,10.0
2018-03-27,7.0
2018-03-28,2.0
2018-03-29,12.0
2018-03-30,4.0
2018-03-31,1.0
2018-04-01,0.0
2018-04-02,1.0
2018-04-03,2.0
2018-04-04,4.0
2018-04-05,5.0
2018-04-06,2.0
2018-04-07,0.0
2018-04-08,0.0
2018-04-09,0.0
2018-04-10,7.0
2018-04-11,4.0
2018-04-12,3.0
2018-04-13,4.0
2018-04-14,0.0
2018-04-15,0.0
2018-04-16,3.0
2018-04-17,3.0
2018-04-18,5.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-21,0.0
2018-04-22,0.0
